,Key,Description,en,ko,origin
0,,,,부,return '부';
1,,,,모,return '모';
2,,,,법정대리인,return '법정대리인';
3,,,,부,return '부';
4,,,,친권자 동의서,"'친권자 동의서',"
5,,,,친권자 정보,"'친권자 정보',"
6,,,,이름,"'이름',"
7,,,,생년월일,"'생년월일',"
8,,,,연락처,"'연락처',"
9,,,,근로자와의 관계,"'근로자와의 관계',"
10,,,,주소,"'주소',"
11,,,,근로자 정보,"'근로자 정보',"
12,,,,이름,"'이름',"
13,,,,생년월일,"'생년월일',"
14,,,,연락처,"'연락처',"
15,,,,주소,"'주소',"
16,,,,사업장 정보,"'사업장 정보',"
17,,,,회사명,"'회사명',"
18,,,,전화번호,"'전화번호',"
19,,,,주소,"'주소',"
20,,,,본인은 위 근로자 ${detailData!.parentAgreeDto.paWorkerName} (이)가 위 사업장에서 n근로를 하는 것에 대하여 동의합니다.,"'본인은 위 근로자  ${detailData!.parentAgreeDto.paWorkerName} (이)가 위 사업장에서\n근로를 하는 것에 대하여 동의합니다.',"
21,,,,친권자: ${detailData!.parentAgreeDto.paParentName},"'친권자: ${detailData!.parentAgreeDto.paParentName}',"
