,Key,Description,en,ko,origin
0,,,,표준 근로 계약서,return '표준 근로 계약서';
1,,,,단기간 근로자 계약서,return '단기간 근로자 계약서';
2,,,,연소 근로자 계약서,return '연소 근로자 계약서';
3,,,,건설일용 근로자 계약서,return '건설일용 근로자 계약서';
4,,,,표준 근로 계약서,return '표준 근로 계약서';
5,,,,알림,"showErrorAlert('알림', '수정 전 계약서는 서류 보관함에서 확인할 수 있습니다.');"
6,,,,수정 전 계약서는 서류 보관함에서 확인할 수 있습니다.,"showErrorAlert('알림', '수정 전 계약서는 서류 보관함에서 확인할 수 있습니다.');"
7,,,,알림,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
8,,,,데이터 통신에 실패했습니다.,"showErrorAlert('알림', '데이터 통신에 실패했습니다.');"
9,,,,확인,"alertConfirm: '확인',"
10,,,,취소,"alertCancel: '취소',"
11,,,,표준 근로 계약서,return '표준 근로 계약서';
12,,,,단기간 근로자 계약서,return '단기간 근로자 계약서';
13,,,,연소 근로자 계약서,return '연소 근로자 계약서';
14,,,,건설일용 근로자 계약서,return '건설일용 근로자 계약서';
15,,,,표준 근로 계약서,return '표준 근로 계약서';
16,,,,계약서에 서명했습니다.,sendMessage('계약서에 서명했습니다.');
17,,,,동의가 완료되었습니다.,showDefaultToast('동의가 완료되었습니다.');
18,,,,계약서 서명을 거절했습니다.,sendMessage(' 계약서 서명을 거절했습니다.');
19,,,,거절이 완료되었습니다.,showDefaultToast('거절이 완료되었습니다.');
20,,,,동의에 실패하였습니다.,showDefaultToast('동의에 실패하였습니다.');
21,,,,거절에 실패하였습니다.,showDefaultToast('거절에 실패하였습니다.');
22,,,,권한 허용이 필요합니다.,showDefaultToast('권한 허용이 필요합니다.');
23,,,,메시지 전송이 제한되었습니다.,showDefaultToast('메시지 전송이 제한되었습니다.');
24,,,,메시지 전송에 실패했습니다.,showDefaultToast('메시지 전송에 실패했습니다.');
25,,,,파일 업로드에 실패했습니다.,showDefaultToast('파일 업로드에 실패했습니다.');
26,,,,서명 이미지 업로드에 실패했습니다.,showDefaultToast('서명 이미지 업로드에 실패했습니다.');
27,,,,(필수),"'(필수)',"
28,,,,내용에 이상이 없음을 확인하였습니다.,"' 내용에 이상이 없음을 확인하였습니다.',"
29,,,,수정하기,"text: '수정하기',"
30,,,,거절하기,"text: '거절하기',"
31,,,,동의하기,"text: '동의하기',"
32,,,,PDF 다운로드,"text: 'PDF 다운로드',"
33,,,,이메일로 전송,"text: '이메일로 전송',"
