,Key,Description,en,ko,origin
0,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
1,,,,거절,"'거절',"
2,,,,예정,"'예정',"
3,,,,진행중,"'진행중',"
4,,,,종료,"'종료',"
5,,,,테마관내 등록된 동고 : ${premiumHistoryItem.themeJobPostingCount}개,return '테마관내 등록된 동고 : ${premiumHistoryItem.themeJobPostingCount}개';
6,,,,거절사유 : ${premiumHistoryItem.rejectionReason},return '거절사유 : ${premiumHistoryItem.rejectionReason}';
7,,,,공고 등록 중,? '공고 등록 중'
8,,,,3개월,"'label': '3개월',"
9,,,,전체,"'label': '전체',"
10,,,,시작날짜,"title: '시작날짜',"
11,,,,종료날짜,"title: '종료날짜',"
12,,,,나의 신청 내역,"title: '나의 신청 내역',"
13,,,,기간,"'기간',"
14,,,,시작날짜,"hintText: '시작날짜',"
15,,,,종료날짜,"hintText: '종료날짜',"
16,,,,서비스,"'서비스',"
17,,,,신청일,"'신청일',"
18,,,,종료일,"'종료일',"
19,,,,더보기,"'더보기',"
20,,,,신청 내역이 없습니다.,"const CommonEmpty(text: '신청 내역이 없습니다.'))),"
