,Key,Description,en,ko,origin
0,,,,사직서 제출에 실패했습니다.,showDefaultToast('사직서 제출에 실패했습니다.');
1,,,,서명 이미지 업로드에 실패했습니다.,showDefaultToast('서명 이미지 업로드에 실패했습니다.');
2,,,,사직서 제출에 성공했습니다.,showDefaultToast('사직서 제출에 성공했습니다.');
3,,,,사직서 제출에 실패했습니다.,showDefaultToast('사직서 제출에 실패했습니다.');
4,,,,유저 정보가 비정상입니다.,showDefaultToast('유저 정보가 비정상입니다.');
5,,,,제출하기,"const TitleBottomSheet(title: '제출하기'),"
6,,,,서명 시 이름을 정자로 써주세요.,"'서명 시 이름을 정자로 써주세요.',"
7,,,,서명 지우기,"text: '서명 지우기'),"
8,,,,서명 후 제출하기,"text: '서명 후 제출하기',"
9,,,,이름을 확인해주세요.,msg = '이름을 확인해주세요.';
10,,,,입사 일자를 확인해주세요.,msg = '입사 일자를 확인해주세요.';
11,,,,퇴사 일자를 확인해주세요.,msg = '퇴사 일자를 확인해주세요.';
12,,,,퇴사 사유를 확인해주세요.,msg = '퇴사 사유를 확인해주세요.';
13,,,,사직서 작성,"title: '사직서 작성',"
14,,,,신청자 정보,"'신청자 정보',"
15,,,,이름을 입력해주세요.,"hintText: '이름을 입력해주세요.',"
16,,,,입사일자 8자리를 확인해주세요.,"hintText: '입사일자 8자리를 확인해주세요.',"
17,,,,(선택) 소속 부서를 입력해주세요.,"hintText: '(선택) 소속 부서를 입력해주세요.',"
18,,,,(선택) 직위를 입력해주세요.,"hintText: '(선택) 직위를 입력해주세요.',"
19,,,,내용,"'내용',"
20,,,,퇴사 일자 8자리를 확인해주세요.,"hintText: '퇴사 일자 8자리를 확인해주세요.',"
21,,,,퇴사 사유를 입력해주세요.,"hintText: '퇴사 사유를 입력해주세요.',"
22,,,,제출하기,"text: '제출하기',"
