,Key,Description,en,ko,origin
0,,,,등록되었습니다.,"alertContent: '등록되었습니다.',"
1,,,,확인,"alertConfirm: '확인',"
2,,,,알림,"alertTitle: '알림',"
3,,,,운영자에 의하여 작성이 제한된 회원입니다.,"alertContent: '운영자에 의하여 작성이 제한된 회원입니다.',"
4,,,,확인,"alertConfirm: '확인',"
5,,,,알림,"alertTitle: '알림',"
6,,,,게시글 작성에 실패하였습니다.,showDefaultToast('게시글 작성에 실패하였습니다.');
7,,,,알림,"alertTitle: '알림',"
8,,,,금칙어,"alertContent: ""금칙어 '"" + keyword + ""'가 포함되어 노무 상담 등록이 불가능합니다."","
9,,,,가 포함되어 노무 상담 등록이 불가능합니다.,"alertContent: ""금칙어 '"" + keyword + ""'가 포함되어 노무 상담 등록이 불가능합니다."","
10,,,,확인,"alertConfirm: '확인',"
11,,,,사진 보관함,"onTap: () => getAttachedPhoto('gallery'), text: '사진 보관함'),"
12,,,,사진 찍기,"onTap: () => getAttachedPhoto('camera'), text: '사진 찍기'),"
13,,,,파일 선택,"BottomSheetButton(onTap: () => getAttachedFile(), text: '파일 선택'),"
14,,,,등록되었습니다.,"alertContent: '등록되었습니다.',"
15,,,,확인,"alertConfirm: '확인',"
16,,,,알림,"alertTitle: '알림',"
17,,,,파일 업로드에 실패했습니다. 다시 시도해 주세요.,"alertContent: '파일 업로드에 실패했습니다. 다시 시도해 주세요.',"
18,,,,확인,"alertConfirm: '확인',"
19,,,,알림,"alertTitle: '알림',"
20,,,,작성 취소,"alertTitle: '작성 취소',"
21,,,,페이지를 이동하시겠어요? n이동 시 작성된 내용은 저장되지 않아요,"alertContent: '페이지를 이동하시겠어요?\n이동 시 작성된 내용은 저장되지 않아요',"
22,,,,확인,"alertConfirm: '확인',"
23,,,,취소,"alertCancel: '취소',"
24,,,,작성 취소,"alertTitle: '작성 취소',"
25,,,,페이지를 이동하시겠어요? n이동 시 작성된 내용은 저장되지 않아요.,"alertContent: '페이지를 이동하시겠어요?\n이동 시 작성된 내용은 저장되지 않아요.',"
26,,,,확인,"alertConfirm: '확인',"
27,,,,취소,"alertCancel: '취소',"
28,,,,상담 작성,"title: '상담 작성',"
29,,,,상담 제목,"const TitleItem(title: '상담 제목'),"
30,,,,제목을 입력해주세요.,"hintText: '제목을 입력해주세요.',"
31,,,,상담 내용,"const TitleItem(title: '상담 내용'),"
32,,,,상담 내용을 작성해주세요.,"decoration: areaInput(hintText: '상담 내용을 작성해주세요.'),"
33,,,,첨부파일,"const TitleItem(title: '첨부파일'),"
34,,,,최대 100MB까지 첨부 가능합니다.,"'최대 100MB까지 첨부 가능합니다.',"
35,,,,상담과 무관한 내용이거나 음란 및 불법적인 내용은 통보 없이 n삭제될 수 있습니다.,"'상담과 무관한 내용이거나 음란 및 불법적인 내용은 통보 없이\n삭제될 수 있습니다.',"
36,,,,비밀글 설정,"const TitleItem(title: '비밀글 설정'),"
37,,,,해당 문의글을,"""해당 문의글을"","
38,,,,비밀글,""" 비밀글"","
39,,,,로 설정하시겠습니까?,"""로 설정하시겠습니까?"","
40,,,,비밀번호를 입력해주세요.,"hintText: '비밀번호를 입력해주세요.',"
41,,,,상담 신청하기,"text: '상담 신청하기',"
