,Key,Description,en,ko,origin
0,,,,부,"{'name': '부', 'key': 1},"
1,,,,모,"{'name': '모', 'key': 2},"
2,,,,법정대리인,"{'name': '법정대리인', 'key': 3},"
3,,,,친권자 정보,"'친권자 정보',"
4,,,,이름을 입력하세요,"hintText: '이름을 입력하세요',"
5,,,,이름을 입력해주세요.,"//   const Text('이름을 입력해주세요.'),"
6,,,,생년월일 8자리를 확인해주세요.,"hintText: '생년월일 8자리를 확인해주세요.',"
7,,,,생년월일을 입력해주세요.,"//   const Text('생년월일을 입력해주세요.'),"
8,,,,휴대폰 번호를 입력하세요,"hintText: '휴대폰 번호를 입력하세요',"
9,,,,휴대폰 번호를 확인해주세요.,"//   const Text('휴대폰 번호를 확인해주세요.'),"
10,,,,근로자와의 관계를 선택해주세요,"hintText: '근로자와의 관계를 선택해주세요'),"
11,,,,근로자와의 관계를 선택해주세요.,"//   const Text('근로자와의 관계를 선택해주세요.'),"
12,,,,주소,"'주소',"
13,,,,[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.,"hintText: '[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.',"
14,,,,"(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.","hintText: '(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.',"
15,,,,주소검색,"text: '주소검색',"
