,Key,Description,en,ko,origin
0,,,,이력서 프로필,"'이력서 프로필',"
1,,,,제목,"'제목',"
2,,,,프로필 사진,"'프로필 사진',"
3,,,,이름,"'이름',"
4,,,,성별,"'성별',"
5,,,,연령,"'연령',"
6,,,,만 ${calculateAge(profileData.userInfo.birth)}세,"'만 ${calculateAge(profileData.userInfo.birth)}세',"
7,,,,별점,"'별점',"
8,,,,주소,"'주소',"
9,,,,연락처,"'연락처',"
10,,,,이메일,"'이메일',"
11,,,,학력 사항,"'학력 사항',"
12,,,,미기재,": '미기재',"
13,,,,경력,"'경력',"
14,,,,기간 :,"'기간 : ',"
15,,,,직종 :,"'직종 : ',"
16,,,,회사명 :,"'회사명 : ',"
17,,,,근무형태 :,"'근무형태 : ',"
18,,,,담당업무 :,"'담당업무 : ',"
19,,,,신입,"'신입',"
20,,,,희망 근무지,"'희망 근무지',"
21,,,,희망 직종,"'희망 직종',"
22,,,,희망근무기간,"'희망근무기간',"
23,,,,희망근무요일,"'희망근무요일',"
24,,,,희망근무시간,"'희망근무시간',"
25,,,,고용형태,"'고용형태',"
26,,,,자기소개,"'자기소개',"
27,,,,첨부파일,"'첨부파일',"
28,,,,AI 분석키워드,"'AI 분석키워드',"
