,Key,Description,en,ko,origin
0,,,,"공고 상태 알림 (게제, 마감, 보류)","{'title': '공고 상태 알림 (게제, 마감, 보류)', 'key': 'marJobpostingState', 'value': false},"
1,,,,"공고 노출 처리 알림 (노출, 비노출)","{'title': '공고 노출 처리 알림 (노출, 비노출)', 'key': 'marJobpostingDisplay', 'value': false},"
2,,,,회사정보 미완성 알림,"{'title': '회사정보 미완성 알림', 'key': 'marCompanyIncomplete', 'value': false},"
3,,,,추천 인재 신규 도착 알림,"{'title': '추천 인재 신규 도착 알림', 'key': 'marNewRecommend', 'value': false},"
4,,,,신규 지원자 알림,"{'title': '신규 지원자 알림', 'key': 'marNewApplicant', 'value': false},"
5,,,,제안 수락/거절 알림,"{'title': '제안 수락/거절 알림', 'key': 'marOfferAllow', 'value': false},"
6,,,,관심인재 알림,"{'title': '관심인재 알림', 'key': 'marTalent', 'value': false},"
7,,,,대화/사진/파일 전송 알림,"{'title': '대화/사진/파일 전송 알림', 'key': 'marMessage', 'value': false},"
8,,,,근로계약서 체결 알림,"{'title': '근로계약서 체결 알림', 'key': 'marEmployment', 'value': false},"
9,,,,근태 알림,"{'title': '근태 알림', 'key': 'marAttendance', 'value': false},"
10,,,,서류 도착 알림,"{'title': '서류 도착 알림', 'key': 'marDocument', 'value': false},"
11,,,,초단코인 안내,"{'title': '초단코인 안내', 'key': 'marChoco', 'value': false},"
12,,,,지역별 상위 노출 안내,"{'title': '지역별 상위 노출 안내', 'key': 'marRegionPriority', 'value': false},"
13,,,,대화 만료 안내,"{'title': '대화 만료 안내', 'key': 'marMessageEnd', 'value': false},"
14,,,,미친매칭 안내,"{'title': '미친매칭 안내', 'key': 'marMadMatching', 'value': false},"
15,,,,브랜드 테마관 안내,"{'title': '브랜드 테마관 안내', 'key': 'marBrandTheme', 'value': false},"
16,,,,노무상담답변 알림,"{'title': '노무상담답변 알림', 'key': 'maQnaAlarm', 'value': false},"
17,,,,공지 알림,"{'title': '공지 알림', 'key': 'maNoticeAlarm', 'value': false},"
18,,,,문자 수신,"{'title': '문자 수신', 'key': 'maMarketingSms', 'value': false, 'target': '휴대폰문자'},"
19,,,,휴대폰문자,"{'title': '문자 수신', 'key': 'maMarketingSms', 'value': false, 'target': '휴대폰문자'},"
20,,,,이메일 수신,"{'title': '이메일 수신', 'key': 'maMarketingEmail', 'value': false, 'target': '이메일'},"
21,,,,이메일,"{'title': '이메일 수신', 'key': 'maMarketingEmail', 'value': false, 'target': '이메일'},"
22,,,,푸시 수신,"{'title': '푸시 수신', 'key': 'maMarketingPush', 'value': false, 'target': '앱 푸시'},"
23,,,,앱 푸시,"{'title': '푸시 수신', 'key': 'maMarketingPush', 'value': false, 'target': '앱 푸시'},"
24,,,,야간 수신 동의 여부,"{'title': '야간 수신 동의 여부', 'key': 'maNightAlarm', 'value': false},"
25,,,,동의,String agreeString = isAgree ? '동의' : '거부';
26,,,,거부,String agreeString = isAgree ? '동의' : '거부';
27,,,,정보 수신 $agreeString 안내,"alertTitle: '정보 수신 $agreeString 안내',"
28,,,,yyyy년 MM월 dd일,"alertContent: '${DateFormat('yyyy년 MM월 dd일').format(now)}\n 마케팅 정보 수신 $agreeString($target) 처리되었어요.',"
29,,,,확인,"alertConfirm: '확인',"
30,,,,공고알림,"sliver: TitleMenu(title: '공고알림'),"
31,,,,공고알림 전체,"text: '공고알림 전체',"
32,,,,구인활동 알림,"sliver: TitleMenu(title: '구인활동 알림'),"
33,,,,구인활동 알림 전체,"text: '구인활동 알림 전체',"
34,,,,매칭/대화 알림,"sliver: TitleMenu(title: '매칭/대화 알림'),"
35,,,,매칭/대화 알림 전체,"text: '매칭/대화 알림 전체',"
36,,,,프리미엄/초단 코인,"sliver: TitleMenu(title: '프리미엄/초단 코인'),"
37,,,,프리미엄/초단 코인 전체,"text: '프리미엄/초단 코인 전체',"
38,,,,기타 알림,"sliver: TitleMenu(title: '기타 알림'),"
39,,,,기타 알림 전체,"text: '기타 알림 전체',"
40,,,,마케팅 알림,"sliver: TitleMenu(title: '마케팅 알림'),"
41,,,,마케팅 알림 전체,"text: '마케팅 알림 전체',"
42,,,,오후 9시부터 다음날 오전 8시까지 마케팅 정보를 받습니다.,? '오후 9시부터 다음날 오전 8시까지 마케팅 정보를 받습니다.'
