,Key,Description,en,ko,origin
0,,,,앱 로그아웃,"alertTitle: '앱 로그아웃',"
1,,,,로그아웃 시 이 계정에 대한 모든 알림을 받을 수 없어요.,"alertContent: '로그아웃 시 이 계정에 대한 모든 알림을 받을 수 없어요.',"
2,,,,로그아웃,"alertConfirm: '로그아웃',"
3,,,,취소,"alertCancel: '취소',"
4,,,,정보수정,"TitleMenu(title: '정보수정'),"
5,,,,채용상태 변경,"text: '채용상태 변경',"
6,,,,회원정보 수정,"text: '회원정보 수정',"
7,,,,기업정보 수정,"text: '기업정보 수정',"
8,,,,비밀번호 변경,"text: '비밀번호 변경',"
9,,,,기타설정,"TitleMenu(title: '기타설정'),"
10,,,,알림설정,"text: '알림설정',"
11,,,,회원탈퇴,"text: '회원탈퇴',"
12,,,,로그아웃,"text: '로그아웃',"
